Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
--------------------------------------------------------------------------------------
Vardas11            Pavarde11           2.44                1.80                
Vardas17            Pavarde17           2.64                2.00                
Vardas24            Pavarde24           2.68                2.60                
Vardas12            Pavarde12           2.84                2.60                
Vardas47            Pavarde47           3.08                3.40                
Vardas34            Pavarde34           3.32                3.40                
Vardas22            Pavarde22           4.36                3.80                
Vardas27            Pavarde27           4.52                3.80                
Vardas6             Pavarde6            3.92                4.00                
Vardas46            Pavarde46           4.16                4.00                
Vardas1             Pavarde1            3.52                4.00                
Vardas31            Pavarde31           4.28                4.20                
Vardas32            Pavarde32           5.20                4.40                
Vardas28            Pavarde28           5.04                4.40                
Vardas13            Pavarde13           4.00                4.40                
Vardas23            Pavarde23           4.48                4.80                
Vardas33            Pavarde33           4.60                5.00                
Vardas36            Pavarde36           4.92                5.00                
Vardas19            Pavarde19           4.92                5.00                
Vardas29            Pavarde29           5.12                5.20                
Vardas9             Pavarde9            4.52                5.40                
Vardas35            Pavarde35           5.20                5.60                
Vardas5             Pavarde5            5.56                5.80                
Vardas42            Pavarde42           6.16                6.00                
Vardas14            Pavarde14           7.24                6.20                
Vardas4             Pavarde4            5.72                6.20                
Vardas7             Pavarde7            6.84                6.60                
Vardas40            Pavarde40           6.36                6.60                
Vardas44            Pavarde44           6.44                6.60                
Vardas2             Pavarde2            6.60                6.60                
Vardas38            Pavarde38           6.92                7.00                
Vardas41            Pavarde41           7.08                7.00                
Vardas50            Pavarde50           7.08                7.00                
Vardas49            Pavarde49           6.84                7.00                
Vardas10            Pavarde10           7.08                7.00                
Vardas25            Pavarde25           7.40                7.40                
Vardas21            Pavarde21           6.84                7.40                
Vardas18            Pavarde18           7.52                7.60                
Vardas43            Pavarde43           8.00                7.60                
Vardas15            Pavarde15           7.92                7.60                
Vardas48            Pavarde48           6.56                7.60                
Vardas8             Pavarde8            7.12                7.60                
Vardas26            Pavarde26           8.20                7.80                
Vardas45            Pavarde45           7.16                7.80                
Vardas39            Pavarde39           7.40                7.80                
Vardas20            Pavarde20           7.96                8.20                
Vardas37            Pavarde37           8.40                8.40                
Vardas3             Pavarde3            8.40                8.40                
Vardas16            Pavarde16           7.88                9.00                
Vardas30            Pavarde30           9.36                9.60                
